PROPERTY_ID,ZIP,PRICE,year,quarter,bathrooms,bedrooms,YR_BLT,SQFT
38623634,90621,308000,2002,2,1,1,1945,360
38623635,90621,143000,1996,2,1,3,1956,962
38623635,90621,127500,1996,2,1,3,1956,962
38623636,90621,125000,1991,1,1,2,1945,634
38623636,90621,120000,1994,3,1,2,1945,634
38623639,90621,131500,1998,2,1,2,1920,799
38623639,90621,200000,2002,1,1,2,1920,799
38623640,90621,185000,2001,3,1,2,1940,760
38623642,90621,400000,2004,2,1,2,1935,1239
38623642,90621,335000,2004,2,1,2,1935,1239
38623644,90621,425000,2005,2,3,3,1966,1134
38623644,90621,514000,2005,2,3,3,1966,1134
38623645,90621,100000,1991,4,1,2,1930,1024
38623646,90621,100000,1992,3,0,0,.,0
38623646,90621,525000,2004,3,0,0,.,0
38623647,90621,158500,1995,3,1,3,1930,1664
38623647,90621,212500,2001,1,1,3,1930,1664
38623649,90621,128000,1996,2,1,3,1950,1003
38623650,90621,145000,1996,1,1,2,1947,896
38623650,90621,193000,2000,3,1,2,1947,896
38623650,90621,267000,2002,4,1,2,1947,896
38623650,90621,434000,2004,2,1,2,1947,896
38623651,90621,162000,1991,2,1,2,1929,1065
38623651,90621,180000,2000,4,1,2,1929,1065
38623651,90621,231500,2002,3,1,2,1929,1065
38623651,90621,328000,2007,4,1,2,1929,1065
38623652,90621,159500,2000,4,1,2,1929,879
38623652,90621,265000,2002,3,1,2,1929,879
38623652,90621,300000,2009,2,1,2,1929,879
38623653,90621,275000,2004,1,1,1,1927,528
38623653,90621,345000,2004,3,1,1,1927,528
38623653,90621,750000,2007,1,1,1,1927,528
38623657,90621,325000,2008,4,1,1,1920,604
38623660,90621,187000,2002,1,1,1,1949,980
38623661,90621,256000,2002,2,1,2,1949,1339
38623664,90621,25000,2008,2,1,2,1939,648
38623668,90621,530000,2008,2,0,0,.,0
38623669,90621,480000,2009,1,0,0,.,0
38623670,90621,180000,1991,4,1,3,1947,1240
38623670,90621,288500,2003,2,1,3,1947,1240
38623671,90621,127000,1993,2,1,2,1947,794
